loss,hidden_units,variational_error,validation_error
huber,10,0.4907018216,0.2956829284
huber,10,0.4392977219,0.2735460892
huber,10,0.4901427151,0.2959015468
huber,100,0.1327981732,0.253657206
huber,100,0.1330780251,0.2466137489
huber,100,0.1341898522,0.2556810732
huber,500,0.1404171667,0.2474112261
huber,500,0.1480353257,0.2476716266
huber,500,0.1414709768,0.2476205533
huber,1000,0.1354780576,0.2492782093
huber,1000,0.1396108649,0.248717615
huber,1000,0.1318048916,0.2478402066
huber,5000,0.1162184866,0.2488616625
huber,5000,0.114006439,0.2517050414
huber,5000,0.1135487945,0.2525881394
huber,10000,0.1084715815,0.2599464006
huber,10000,0.1048205288,0.2605585046
huber,10000,0.1078572066,0.2571272686
mae,10,0.5516695243,0.3424289526
mae,10,1.104212314,0.4605999201
mae,10,0.4153172443,0.2349339
mae,100,0.5914179098,0.3869535076
mae,100,0.5468467634,0.3448199602
mae,100,0.4753048619,0.3439907535
mae,500,0.2772005059,0.264329883
mae,500,0.275360503,0.2453646159
mae,500,0.4726622783,0.2990614352
mae,1000,0.667212696,0.3971245034
mae,1000,0.6776535373,0.3983571555
mae,1000,0.7014096912,0.4832098126
mae,5000,1.087472025,0.5595495998
mae,5000,1.075673677,0.5555957337
mae,5000,1.077284165,0.5561345686
mae,10000,0.6818638843,0.4670635545
mae,10000,0.6803925832,0.4724154039
mae,10000,0.6698983174,0.3924315463