lr_schedule,hidden_units,variational_error,validation_error
cosine,10,0.44710298,0.2761243471
cosine,10,0.4909082176,0.2757428249
cosine,10,0.4546138283,0.2778158763
cosine,100,0.1418717666,0.2549407947
cosine,100,0.1334383867,0.2503695864
cosine,100,0.1413030489,0.2581104254
cosine,500,0.2150087964,0.23429727
cosine,500,0.2155347449,0.2343399695
cosine,500,0.245474593,0.2358915491
cosine,1000,0.1605992696,0.2398006039
cosine,1000,0.1595808646,0.2402603265
cosine,1000,0.1645288548,0.2393809054
cosine,5000,0.3506836591,0.2473095659
cosine,5000,0.5614395198,0.3102321398
cosine,5000,0.4166397818,0.3230193158
cosine,10000,0.1832858224,0.2402246662
cosine,10000,0.1800963778,0.2409029314
cosine,10000,0.1825914581,0.2389434987
plateau,10,0.4376962345,0.274788545
plateau,10,0.4902573349,0.2955939685
plateau,10,0.4887282671,0.2751570256
plateau,100,0.1339064321,0.2475212211
plateau,100,0.1335513158,0.2462266867
plateau,100,0.1331500194,0.2494197616
plateau,500,0.14886991,0.2420047528
plateau,500,0.1531369171,0.2411873891
plateau,500,0.1449151418,0.2413319091
plateau,1000,0.1496620259,0.2461837264
plateau,1000,0.1554753563,0.2444326909
plateau,1000,0.1452170989,0.2462792288
plateau,5000,0.3494240411,0.2509350152
plateau,5000,0.4414581058,0.3303710301
plateau,5000,0.244459301,0.2607258091
plateau,10000,0.1681335766,0.2467295563
plateau,10000,0.1726149518,0.2451249506
plateau,10000,0.1676186521,0.2447192732