hidden_units,variational_error,validation_error
10,0.8041259957,0.2485295916
10,0.9534577591,0.2729833265
10,0.9541571004,0.2730409124
100,0.5773163152,0.08552365264
100,0.7335051311,0.1085006023
100,0.4898668542,0.06932265995
500,0.6941902948,0.09814958403
500,0.7169339669,0.1041084447
500,0.6931025696,0.0981561206
1000,0.7021617455,0.1023156286
1000,0.6470945192,0.09169439293
1000,0.6985588086,0.09914238944
5000,0.5896629704,0.07102027121
5000,0.5196709049,0.07387121923
5000,0.5112180722,0.04806846873
10000,0.6960976583,0.09959851075
10000,0.6965570984,0.1013790845
10000,0.6957068456,0.1005327174