square,10,0.4395054441,0.2750962372
square,10,0.3159923346,0.2577216543
square,10,0.5892739158,0.3187225702
square,100,0.1328781707,0.251855122
square,100,0.1326995573,0.2479957033
square,100,0.1327749653,0.2534072276
square,500,0.1496451967,0.2399066765
square,500,0.1441496692,0.2414134952
square,500,0.1413043222,0.2408322783
square,1000,0.156833478,0.2455756355
square,1000,0.1514093659,0.2458068128
square,1000,0.1481471739,0.2448742763
square,5000,0.3388868998,0.2527450726
square,5000,0.2679223188,0.2506595932
square,5000,0.5681086239,0.2682073241
square,10000,0.1663424571,0.2456584225
square,10000,0.1695963044,0.2456837129
square,10000,0.167843302,0.245207302