nonlinearity_type,hidden_units,variational_error,validation_error
elu,10,0.7444977746,0.4507552722
elu,10,0.8828263372,0.3816021739
elu,10,0.1927681818,0.1132366401
elu,100,0.08315578051,0.1025061424
elu,100,0.1480509954,0.1125920803
elu,100,0.08131301351,0.104246099
elu,500,0.05045143452,0.1076296769
elu,500,0.05825493422,0.1061034413
elu,500,0.04781883678,0.1075769188
elu,1000,0.04167802355,0.1081994715
elu,1000,0.03517209306,0.1089953564
elu,1000,0.02247557809,0.1110022299
elu,5000,1.098295339,0.2925757109
elu,5000,0.4546725066,0.1949816937
elu,5000,0.08325288842,0.1125442161
elu,10000,0.02631626747,0.1108004915
elu,10000,0.0176557103,0.1126293809
elu,10000,0.02466501019,0.1108973485
gelu,10,0.3901458949,0.2095487183
gelu,10,1.329158305,0.441420675
gelu,10,0.7445900426,0.2591881906
gelu,100,0.08206608839,0.1075524645
gelu,100,0.08077970095,0.1067613138
gelu,100,0.08139484626,0.1086637272
gelu,500,0.04840869393,0.1071281429
gelu,500,0.06530619349,0.1062139902
gelu,500,0.05564178474,0.1072909103
gelu,1000,0.03949235103,0.1082450622
gelu,1000,0.05547769315,0.1051093405
gelu,1000,0.04575467792,0.1076682183
gelu,5000,0.5750956176,0.1747278061
gelu,5000,0.4122065606,0.1798455301
gelu,5000,0.7740108721,0.2532222229
gelu,10000,0.02059028538,0.1113586251
gelu,10000,0.01621515544,0.1118683927
gelu,10000,0.0288857939,0.110643143
leaky_relu,10,0.7444387958,0.4507557654
leaky_relu,10,1.019688247,0.3856501427
leaky_relu,10,0.1920938995,0.1157174599
leaky_relu,100,0.08219921094,0.1089539094
leaky_relu,100,0.08034971304,0.1033568465
leaky_relu,100,0.08515366859,0.1068352709
leaky_relu,500,0.06286733534,0.1058172615
leaky_relu,500,0.04592378161,0.1084878899
leaky_relu,500,0.0581488008,0.1070597995
leaky_relu,1000,0.02841744812,0.1095400839
leaky_relu,1000,0.02346904071,0.1103636302
leaky_relu,1000,0.03937448285,0.1085643437
leaky_relu,5000,0.5073984315,0.1771138051
leaky_relu,5000,0.5162573369,0.1834812133
leaky_relu,5000,1.097105293,0.3218804942
leaky_relu,10000,0.02521831783,0.1112742521
leaky_relu,10000,0.02541981361,0.1113288769
leaky_relu,10000,0.01619895733,0.1122503946