hidden_units,variational_error,validation_error,optimiser
10,0.9628898487,0.3874163974,adam
10,0.2422435815,0.1291040844,adam
10,0.1955206961,0.1242438523,adam
100,0.07862153597,0.1059837872,adam
100,0.0809651906,0.1068526423,adam
100,0.07943329163,0.1043751547,adam
500,0.05539839652,0.1067499832,adam
500,0.04277495044,0.1078642306,adam
500,0.04840636201,0.1064794966,adam
1000,0.02374880559,0.1111004567,adam
1000,0.03781719229,0.1079806345,adam
1000,0.04404002152,0.1066293965,adam
5000,0.04890823508,0.1150296589,adam
5000,0.03562675469,0.1198875048,adam
5000,0.03580925362,0.1177838571,adam
10000,0.02102408799,0.1123057411,adam
10000,0.01650502718,0.1122095633,adam
10000,0.02014104517,0.1117710195,adam
10,0.9614436016,0.3870036743,momentum
10,0.8824510067,0.3826360101,momentum
10,0.2093097538,0.1285184602,momentum
100,0.0800078208,0.1081385619,momentum
100,0.0786206866,0.1058419114,momentum
100,0.08088412828,0.1090445237,momentum
500,0.04667384646,0.1075944219,momentum
500,0.04209012475,0.1074804116,momentum
500,0.05760944571,0.1050223794,momentum
1000,0.03228055623,0.109697954,momentum
1000,0.03729677882,0.1075738166,momentum
1000,0.04934272852,0.107585372,momentum
5000,0.01967240365,0.1117669622,momentum
5000,0.02895845196,0.1101757289,momentum
5000,0.0280618789,0.1110805947,momentum
10000,0.01892376932,0.1119946184,momentum
10000,0.03053808894,0.1104214883,momentum
10000,0.02879406235,0.110511601,momentum