schedule,hidden_units,variational_error,validation_error
cosine,10,0.327379769,0.2041877988
cosine,10,0.7898885249,0.4735695682
cosine,10,0.7828288465,0.4650611119
cosine,100,0.1008788715,0.1061138468
cosine,100,0.1187225683,0.1041922626
cosine,100,0.09816556222,0.1077989
cosine,500,0.05898373887,0.1034336811
cosine,500,0.06259858556,0.1044751055
cosine,500,0.06711196091,0.1052660617
cosine,1000,0.03769937839,0.1071207116
cosine,1000,0.03555863819,0.1086827923
cosine,1000,0.03744101248,0.1078587065
cosine,5000,1.114590491,0.3433363473
cosine,5000,0.6415647612,0.2078991849
cosine,5000,0.3425673112,0.1314968845
cosine,10000,0.02809372268,0.1102216708
cosine,10000,0.02538670323,0.110468562
cosine,10000,0.02891067884,0.1098913007
plateau,10,0.1901147273,0.1152294466
plateau,10,0.9599097357,0.3877364397
plateau,10,0.1633626724,0.1118104448
plateau,100,0.07475265808,0.1078606159
plateau,100,0.08075620182,0.105876469
plateau,100,0.08126708813,0.1050212346
plateau,500,0.06033445842,0.1052359252
plateau,500,0.05831596203,0.105496954
plateau,500,0.0678835506,0.1047010392
plateau,1000,0.0455542871,0.1068776347
plateau,1000,0.05788530357,0.1053951991
plateau,1000,0.05428900506,0.1071033798
plateau,5000,0.3505478921,0.1319161957
plateau,5000,0.1098179266,0.1130599639
plateau,5000,0.6416372183,0.2155759097
plateau,10000,0.02823760829,0.1096805254
plateau,10000,0.03072263024,0.1090951299
plateau,10000,0.02875452425,0.1098468793