hidden_units,variational_error,validation_error,a_w,a_b
10,0.1193626924,0.1041003113,2,1
10,0.1047909032,0.1081431066,2,1
10,0.1492771567,0.1138149847,2,1
100,0.07564598269,0.1062365727,2,1
100,0.07368238218,0.1063401575,2,1
100,0.07598915644,0.1083708741,2,1
500,0.03355903647,0.110221588,2,1
500,0.03383801069,0.1104114215,2,1
500,0.04912271287,0.1078455588,2,1
1000,0.04311136625,0.1084370873,2,1
1000,0.04593451045,0.1087020131,2,1
1000,0.04985184159,0.1082384894,2,1
5000,0.04350916765,0.1089936314,2,1
5000,0.04356384001,0.108736197,2,1
5000,0.04461461029,0.1089526276,2,1
10000,0.04565542128,0.1090241071,2,1
10000,0.04526556752,0.108868281,2,1
10000,0.04570098903,0.1086827761,2,1
10,0.7445900426,0.4507556368,1,5
10,0.7445900426,0.4507556368,1,5
10,0.7223454207,0.4108878843,1,5
100,0.7445900426,0.4116531953,1,5
100,0.7445900426,0.4116605073,1,5
100,0.7223454207,0.4109463613,1,5
500,0.08247738428,0.113112044,1,5
500,0.6715233421,0.3657786755,1,5
500,0.1100409686,0.1131379154,1,5
1000,0.6715233421,0.365166014,1,5
1000,0.6715233421,0.3674746432,1,5
1000,0.6715233421,0.3659928883,1,5
5000,0.7224238883,0.4177461327,1,5
5000,0.7445900426,0.4507556368,1,5
5000,0.7445900426,0.4507556368,1,5
10000,0.6715233421,0.3810476983,1,5
10000,0.6715233421,0.273756587,1,5
10000,0.6715233421,0.3762318423,1,5